time,tair_day_livneh_vic
1951-09-07 00:00:00+00:00,19.910612
1951-09-08 00:00:00+00:00,21.101007
1951-09-09 00:00:00+00:00,21.922903
1951-09-10 00:00:00+00:00,21.498518
1951-09-11 00:00:00+00:00,20.527416
1951-09-12 00:00:00+00:00,20.118664
1951-09-13 00:00:00+00:00,20.49489
1951-09-14 00:00:00+00:00,21.230064
1951-09-15 00:00:00+00:00,22.133444
1951-09-16 00:00:00+00:00,22.578407
1951-09-17 00:00:00+00:00,22.501713
1951-09-18 00:00:00+00:00,22.243544
1951-09-19 00:00:00+00:00,22.046202
1951-09-20 00:00:00+00:00,21.690355
