time,soilmoist1_day_livneh_vic
1950-08-06 00:00:00+00:00,11.541805
1950-08-07 00:00:00+00:00,11.420994
1950-08-08 00:00:00+00:00,11.315057
1950-08-09 00:00:00+00:00,11.22558
1950-08-10 00:00:00+00:00,11.357333
1950-08-11 00:00:00+00:00,11.271691
1950-08-12 00:00:00+00:00,11.185778
1950-08-13 00:00:00+00:00,11.104186
1950-08-14 00:00:00+00:00,11.03269
1950-08-15 00:00:00+00:00,10.968903
1950-08-16 00:00:00+00:00,10.912243
1950-08-17 00:00:00+00:00,10.862886
1950-08-18 00:00:00+00:00,10.819252
1950-08-19 00:00:00+00:00,10.782567
1950-08-20 00:00:00+00:00,10.749893
1950-08-21 00:00:00+00:00,10.719203
1950-08-22 00:00:00+00:00,10.693552
1950-08-23 00:00:00+00:00,10.673998
1950-08-24 00:00:00+00:00,10.6594715
1950-08-25 00:00:00+00:00,10.641886
1950-08-26 00:00:00+00:00,10.625684
1950-08-27 00:00:00+00:00,10.611214
1950-08-28 00:00:00+00:00,10.598249
1950-08-29 00:00:00+00:00,10.586631
1950-08-30 00:00:00+00:00,10.576315
1950-08-31 00:00:00+00:00,10.566707
1950-09-01 00:00:00+00:00,10.558293
1950-09-02 00:00:00+00:00,10.59692
1950-09-03 00:00:00+00:00,10.596579
1950-09-04 00:00:00+00:00,10.589369
1950-09-05 00:00:00+00:00,10.7633505
1950-09-06 00:00:00+00:00,11.515836
1950-09-07 00:00:00+00:00,12.829804
1950-09-08 00:00:00+00:00,12.897727
1950-09-09 00:00:00+00:00,12.763737
1950-09-10 00:00:00+00:00,12.65453
1950-09-11 00:00:00+00:00,12.496937
1950-09-12 00:00:00+00:00,12.302621
1950-09-13 00:00:00+00:00,12.132432
1950-09-14 00:00:00+00:00,12.00472
1950-09-15 00:00:00+00:00,11.9909525
1950-09-16 00:00:00+00:00,12.057265
1950-09-17 00:00:00+00:00,12.609543
1950-09-18 00:00:00+00:00,12.714145
1950-09-19 00:00:00+00:00,12.635119
1950-09-20 00:00:00+00:00,12.4771805
1950-09-21 00:00:00+00:00,12.3029175
1950-09-22 00:00:00+00:00,12.143675
1950-09-23 00:00:00+00:00,12.0074835
1950-09-24 00:00:00+00:00,11.940489
1950-09-25 00:00:00+00:00,12.065525
1950-09-26 00:00:00+00:00,11.973832
1950-09-27 00:00:00+00:00,11.825035
1950-09-28 00:00:00+00:00,11.721967
1950-09-29 00:00:00+00:00,11.651637
1950-09-30 00:00:00+00:00,11.606207
1950-10-01 00:00:00+00:00,11.577878
1950-10-02 00:00:00+00:00,12.133628
1950-10-03 00:00:00+00:00,12.7876425
1950-10-04 00:00:00+00:00,13.426757
1950-10-05 00:00:00+00:00,14.173169
1950-10-06 00:00:00+00:00,13.741145
1950-10-07 00:00:00+00:00,13.515792
1950-10-08 00:00:00+00:00,13.434922
1950-10-09 00:00:00+00:00,13.254
1950-10-10 00:00:00+00:00,13.097039
1950-10-11 00:00:00+00:00,12.949794
1950-10-12 00:00:00+00:00,12.818645
1950-10-13 00:00:00+00:00,12.704532
1950-10-14 00:00:00+00:00,12.61631
1950-10-15 00:00:00+00:00,12.800049
1950-10-16 00:00:00+00:00,13.240703
1950-10-17 00:00:00+00:00,13.443915
1950-10-18 00:00:00+00:00,13.17106
1950-10-19 00:00:00+00:00,13.068658
1950-10-20 00:00:00+00:00,12.972999
1950-10-21 00:00:00+00:00,12.869596
1950-10-22 00:00:00+00:00,12.837629
1950-10-23 00:00:00+00:00,12.992043
1950-10-24 00:00:00+00:00,14.101072
1950-10-25 00:00:00+00:00,16.308168
1950-10-26 00:00:00+00:00,19.399357
1950-10-27 00:00:00+00:00,20.525063
1950-10-28 00:00:00+00:00,19.59071
1950-10-29 00:00:00+00:00,19.989017
1950-10-30 00:00:00+00:00,19.534277
1950-10-31 00:00:00+00:00,18.63653
1950-11-01 00:00:00+00:00,18.491518
1950-11-02 00:00:00+00:00,17.939728
1950-11-03 00:00:00+00:00,17.488495
1950-11-04 00:00:00+00:00,17.14088
1950-11-05 00:00:00+00:00,16.858606
1950-11-06 00:00:00+00:00,16.615095
1950-11-07 00:00:00+00:00,16.415482
1950-11-08 00:00:00+00:00,16.235922
1950-11-09 00:00:00+00:00,16.070621
1950-11-10 00:00:00+00:00,15.92419
1950-11-11 00:00:00+00:00,15.804698
1950-11-12 00:00:00+00:00,15.844006
1950-11-13 00:00:00+00:00,17.345871
1950-11-14 00:00:00+00:00,18.079115
1950-11-15 00:00:00+00:00,18.852142
1950-11-16 00:00:00+00:00,20.132477
1950-11-17 00:00:00+00:00,20.706015
